Changed Files (Full Path),Oldest Update Date,Oldest Commit Hash,Newest Update Date,Newest Commit Hash,Commit Count
client/i18n/locales/english/translations.json,2024-12-06 11:52:35 -0800,879c45d00838f67cbd5719933d9bdc13c4e68d23,2024-12-23 21:47:44 +0000,033fe98fd84506fb2a00c827c4d8213b11d20777,6
client/src/components/share/share-template.test.tsx,2024-12-23 19:00:22 -0800,94b07766f5c91e7c8d88e797ab56c01101af3f4d,2024-12-23 19:00:22 -0800,94b07766f5c91e7c8d88e797ab56c01101af3f4d,1
client/src/components/share/share-template.tsx,2024-12-23 19:00:22 -0800,94b07766f5c91e7c8d88e797ab56c01101af3f4d,2024-12-23 19:00:22 -0800,94b07766f5c91e7c8d88e797ab56c01101af3f4d,1
client/src/templates/Challenges/classic/editor.css,2024-12-23 19:00:22 -0800,94b07766f5c91e7c8d88e797ab56c01101af3f4d,2024-12-23 19:00:22 -0800,94b07766f5c91e7c8d88e797ab56c01101af3f4d,1
client/src/templates/Challenges/classic/lower-jaw.tsx,2024-12-23 19:00:22 -0800,94b07766f5c91e7c8d88e797ab56c01101af3f4d,2024-12-23 19:00:22 -0800,94b07766f5c91e7c8d88e797ab56c01101af3f4d,1
client/src/templates/Introduction/components/super-block-accordion.css,2024-12-23 21:47:44 +0000,033fe98fd84506fb2a00c827c4d8213b11d20777,2024-12-23 21:47:44 +0000,033fe98fd84506fb2a00c827c4d8213b11d20777,1
client/src/templates/Introduction/components/super-block-accordion.tsx,2024-12-19 15:18:15 +0530,5583032ae45a5b8d3e024dc826f71106d239c067,2024-12-23 21:47:44 +0000,033fe98fd84506fb2a00c827c4d8213b11d20777,2
client/src/templates/Introduction/components/super-block-intro.tsx,2024-12-23 21:47:44 +0000,033fe98fd84506fb2a00c827c4d8213b11d20777,2024-12-23 21:47:44 +0000,033fe98fd84506fb2a00c827c4d8213b11d20777,1
client/src/templates/Introduction/super-block-intro.tsx,2024-12-18 23:14:45 +0530,174eec287a6ba4243f6ddbc9b4e4ee2ee6f8ed61,2024-12-23 21:47:44 +0000,033fe98fd84506fb2a00c827c4d8213b11d20777,3
curriculum/challenges/english/15-javascript-algorithms-and-data-structures-22/learn-introductory-javascript-by-building-a-pyramid-generator/660f280dda5040f707c76b4a.md,2024-12-23 22:33:01 +0100,97cf1d871121a638cc0b6701ce2e4971820193f5,2024-12-23 22:33:01 +0100,97cf1d871121a638cc0b6701ce2e4971820193f5,1
